date, co2
1959-01-31,315.42
1959-02-28,316.31
1959-03-31,316.5
1959-04-30,317.56
1959-05-31,318.13
1959-06-30,318.0
1959-07-31,316.39
1959-08-31,314.65
1959-09-30,313.68
1959-10-31,313.18
1959-11-30,314.66
1959-12-31,315.43
1960-01-31,316.27
1960-02-29,316.81
1960-03-31,317.42
1960-04-30,318.87
1960-05-31,319.87
1960-06-30,319.43
1960-07-31,318.01
1960-08-31,315.74
1960-09-30,314.0
1960-10-31,313.68
1960-11-30,314.84
1960-12-31,316.03
1961-01-31,316.73
1961-02-28,317.54
1961-03-31,318.38
1961-04-30,319.31
1961-05-31,320.42
1961-06-30,319.61
1961-07-31,318.42
1961-08-31,316.63
1961-09-30,314.83
1961-10-31,315.16
1961-11-30,315.94
1961-12-31,316.85
1962-01-31,317.78
1962-02-28,318.4
1962-03-31,319.53
1962-04-30,320.42
1962-05-31,320.85
1962-06-30,320.45
1962-07-31,319.45
1962-08-31,317.25
1962-09-30,316.11
1962-10-31,315.27
1962-11-30,316.53
1962-12-31,317.53
1963-01-31,318.58
1963-02-28,318.92
1963-03-31,319.7
1963-04-30,321.22
1963-05-31,322.08
1963-06-30,321.31
1963-07-31,319.58
1963-08-31,317.61
1963-09-30,316.05
1963-10-31,315.83
1963-11-30,316.91
1963-12-31,318.2
1964-01-31,319.41
1964-02-29,320.07
1964-03-31,320.74
1964-04-30,321.4
1964-05-31,322.06
1964-06-30,321.73
1964-07-31,320.27
1964-08-31,318.54
1964-09-30,316.54
1964-10-31,316.71
1964-11-30,317.53
1964-12-31,318.55
1965-01-31,319.27
1965-02-28,320.28
1965-03-31,320.73
1965-04-30,321.97
1965-05-31,322.0
1965-06-30,321.71
1965-07-31,321.05
1965-08-31,318.71
1965-09-30,317.66
1965-10-31,317.14
1965-11-30,318.7
1965-12-31,319.25
1966-01-31,320.46
1966-02-28,321.43
1966-03-31,322.23
1966-04-30,323.54
1966-05-31,323.91
1966-06-30,323.59
1966-07-31,322.24
1966-08-31,320.2
1966-09-30,318.48
1966-10-31,317.94
1966-11-30,319.63
1966-12-31,320.87
1967-01-31,322.17
1967-02-28,322.34
1967-03-31,322.88
1967-04-30,324.25
1967-05-31,324.83
1967-06-30,323.93
1967-07-31,322.38
1967-08-31,320.76
1967-09-30,319.1
1967-10-31,319.24
1967-11-30,320.56
1967-12-31,321.8
1968-01-31,322.4
1968-02-29,322.99
1968-03-31,323.73
1968-04-30,324.86
1968-05-31,325.4
1968-06-30,325.2
1968-07-31,323.98
1968-08-31,321.95
1968-09-30,320.18
1968-10-31,320.09
1968-11-30,321.16
1968-12-31,322.74
1969-01-31,323.83
1969-02-28,324.26
1969-03-31,325.47
1969-04-30,326.5
1969-05-31,327.21
1969-06-30,326.54
1969-07-31,325.72
1969-08-31,323.5
1969-09-30,322.22
1969-10-31,321.62
1969-11-30,322.69
1969-12-31,323.95
1970-01-31,324.89
1970-02-28,325.82
1970-03-31,326.77
1970-04-30,327.97
1970-05-31,327.91
1970-06-30,327.5
1970-07-31,326.18
1970-08-31,324.53
1970-09-30,322.93
1970-10-31,322.9
1970-11-30,323.85
1970-12-31,324.96
1971-01-31,326.01
1971-02-28,326.51
1971-03-31,327.01
1971-04-30,327.62
1971-05-31,328.76
1971-06-30,328.4
1971-07-31,327.2
1971-08-31,325.27
1971-09-30,323.2
1971-10-31,323.4
1971-11-30,324.63
1971-12-31,325.85
1972-01-31,326.6
1972-02-29,327.47
1972-03-31,327.58
1972-04-30,329.56
1972-05-31,329.9
1972-06-30,328.92
1972-07-31,327.88
1972-08-31,326.16
1972-09-30,324.68
1972-10-31,325.04
1972-11-30,326.34
1972-12-31,327.39
1973-01-31,328.37
1973-02-28,329.4
1973-03-31,330.14
1973-04-30,331.33
1973-05-31,332.31
1973-06-30,331.9
1973-07-31,330.7
1973-08-31,329.15
1973-09-30,327.35
1973-10-31,327.02
1973-11-30,327.99
1973-12-31,328.48
1974-01-31,329.18
1974-02-28,330.55
1974-03-31,331.32
1974-04-30,332.48
1974-05-31,332.92
1974-06-30,332.08
1974-07-31,331.01
1974-08-31,329.23
1974-09-30,327.27
1974-10-31,327.21
1974-11-30,328.29
1974-12-31,329.41
1975-01-31,330.23
1975-02-28,331.25
1975-03-31,331.87
1975-04-30,333.14
1975-05-31,333.8
1975-06-30,333.43
1975-07-31,331.73
1975-08-31,329.9
1975-09-30,328.4
1975-10-31,328.17
1975-11-30,329.32
1975-12-31,330.59
1976-01-31,331.58
1976-02-29,332.39
1976-03-31,333.33
1976-04-30,334.41
1976-05-31,334.71
1976-06-30,334.17
1976-07-31,332.89
1976-08-31,330.77
1976-09-30,329.14
1976-10-31,328.78
1976-11-30,330.14
1976-12-31,331.52
1977-01-31,332.75
1977-02-28,333.24
1977-03-31,334.53
1977-04-30,335.9
1977-05-31,336.57
1977-06-30,336.1
1977-07-31,334.76
1977-08-31,332.59
1977-09-30,331.42
1977-10-31,330.98
1977-11-30,332.24
1977-12-31,333.68
1978-01-31,334.8
1978-02-28,335.22
1978-03-31,336.47
1978-04-30,337.59
1978-05-31,337.84
1978-06-30,337.72
1978-07-31,336.37
1978-08-31,334.51
1978-09-30,332.6
1978-10-31,332.38
1978-11-30,333.75
1978-12-31,334.78
1979-01-31,336.05
1979-02-28,336.59
1979-03-31,337.79
1979-04-30,338.71
1979-05-31,339.3
1979-06-30,339.12
1979-07-31,337.56
1979-08-31,335.92
1979-09-30,333.75
1979-10-31,333.7
1979-11-30,335.12
1979-12-31,336.56
1980-01-31,337.84
1980-02-29,338.19
1980-03-31,339.91
1980-04-30,340.6
1980-05-31,341.29
1980-06-30,341.0
1980-07-31,339.39
1980-08-31,337.43
1980-09-30,335.72
1980-10-31,335.84
1980-11-30,336.93
1980-12-31,338.04
1981-01-31,339.06
1981-02-28,340.3
1981-03-31,341.21
1981-04-30,342.33
1981-05-31,342.74
1981-06-30,342.08
1981-07-31,340.32
1981-08-31,338.26
1981-09-30,336.52
1981-10-31,336.68
1981-11-30,338.19
1981-12-31,339.44
1982-01-31,340.57
1982-02-28,341.44
1982-03-31,342.53
1982-04-30,343.39
1982-05-31,343.96
1982-06-30,343.18
1982-07-31,341.88
1982-08-31,339.65
1982-09-30,337.81
1982-10-31,337.69
1982-11-30,339.09
1982-12-31,340.32
1983-01-31,341.2
1983-02-28,342.35
1983-03-31,342.93
1983-04-30,344.77
1983-05-31,345.58
1983-06-30,345.14
1983-07-31,343.81
1983-08-31,342.21
1983-09-30,339.69
1983-10-31,339.82
1983-11-30,340.98
1983-12-31,342.82
1984-01-31,343.52
1984-02-29,344.33
1984-03-31,345.11
1984-04-30,346.88
1984-05-31,347.25
1984-06-30,346.62
1984-07-31,345.22
1984-08-31,343.11
1984-09-30,340.9
1984-10-31,341.18
1984-11-30,342.8
1984-12-31,344.04
1985-01-31,344.79
1985-02-28,345.82
1985-03-31,347.25
1985-04-30,348.17
1985-05-31,348.74
1985-06-30,348.07
1985-07-31,346.38
1985-08-31,344.51
1985-09-30,342.92
1985-10-31,342.62
1985-11-30,344.06
1985-12-31,345.38
1986-01-31,346.11
1986-02-28,346.78
1986-03-31,347.68
1986-04-30,349.37
1986-05-31,350.03
1986-06-30,349.37
1986-07-31,347.76
1986-08-31,345.73
1986-09-30,344.68
1986-10-31,343.99
1986-11-30,345.48
1986-12-31,346.72
1987-01-31,347.84
1987-02-28,348.29
1987-03-31,349.23
1987-04-30,350.8
1987-05-31,351.66
1987-06-30,351.07
1987-07-31,349.33
1987-08-31,347.92
1987-09-30,346.27
1987-10-31,346.18
1987-11-30,347.64
1987-12-31,348.78
1988-01-31,350.25
1988-02-29,351.54
1988-03-31,352.05
1988-04-30,353.41
1988-05-31,354.04
1988-06-30,353.62
1988-07-31,352.22
1988-08-31,350.27
1988-09-30,348.55
1988-10-31,348.72
1988-11-30,349.91
1988-12-31,351.18
1989-01-31,352.6
1989-02-28,352.92
1989-03-31,353.53
1989-04-30,355.26
1989-05-31,355.52
1989-06-30,354.97
1989-07-31,353.75
1989-08-31,351.52
1989-09-30,349.64
1989-10-31,349.83
1989-11-30,351.14
1989-12-31,352.37
1990-01-31,353.5
1990-02-28,354.55
1990-03-31,355.23
1990-04-30,356.04
1990-05-31,357.0
1990-06-30,356.07
1990-07-31,354.67
1990-08-31,352.76
1990-09-30,350.82
1990-10-31,351.04
1990-11-30,352.69
1990-12-31,354.07
1991-01-31,354.59
1991-02-28,355.63
1991-03-31,357.03
1991-04-30,358.48
1991-05-31,359.22
1991-06-30,358.12
1991-07-31,356.06
1991-08-31,353.92
1991-09-30,352.05
1991-10-31,352.11
1991-11-30,353.64
1991-12-31,354.89
1992-01-31,355.88
1992-02-29,356.63
1992-03-31,357.72
1992-04-30,359.07
1992-05-31,359.58
1992-06-30,359.17
1992-07-31,356.94
1992-08-31,354.92
1992-09-30,352.94
1992-10-31,353.23
1992-11-30,354.09
1992-12-31,355.33
1993-01-31,356.63
1993-02-28,357.1
1993-03-31,358.32
1993-04-30,359.41
1993-05-31,360.23
1993-06-30,359.55
1993-07-31,357.53
1993-08-31,355.48
1993-09-30,353.67
1993-10-31,353.95
1993-11-30,355.3
1993-12-31,356.78
1994-01-31,358.34
1994-02-28,358.89
1994-03-31,359.95
1994-04-30,361.25
1994-05-31,361.67
1994-06-30,360.94
1994-07-31,359.55
1994-08-31,357.49
1994-09-30,355.84
1994-10-31,356.0
1994-11-30,357.59
1994-12-31,359.05
1995-01-31,359.98
1995-02-28,361.03
1995-03-31,361.66
1995-04-30,363.48
1995-05-31,363.82
1995-06-30,363.3
1995-07-31,361.94
1995-08-31,359.5
1995-09-30,358.11
1995-10-31,357.8
1995-11-30,359.61
1995-12-31,360.74
1996-01-31,362.09
1996-02-29,363.29
1996-03-31,364.06
1996-04-30,364.76
1996-05-31,365.45
1996-06-30,365.01
1996-07-31,363.7
1996-08-31,361.54
1996-09-30,359.51
1996-10-31,359.65
1996-11-30,360.8
1996-12-31,362.38
1997-01-31,363.23
1997-02-28,364.06
1997-03-31,364.61
1997-04-30,366.4
1997-05-31,366.84
1997-06-30,365.68
1997-07-31,364.52
1997-08-31,362.57
1997-09-30,360.24
1997-10-31,360.83
1997-11-30,362.49
1997-12-31,364.34
